0,1
Patrick Mahomes,QB
Christian McCaffrey,RB
Mike Evans,WR
Travis Kelce,TE
David Johnson,RB
Chris Godwin,WR
Darren Waller,TE
DK Metcalf,WR
Leonard Fournette,RB
Raheem Mostert,RB
Rob Gronkowski,TE
Kyler Murray,QB
T.Y. Hilton,WR
Jamison Crowder,WR
Derek Carr,QB
Cam Newton,QB
Myles Gaskin,RB
Patriots D/ST,D/ST
Wil Lutz,K
Darrell Henderson Jr.,RB
Bills D/ST,D/ST
Russell Gage,WR
Stephen Gostkowski,K
Younghoe Koo,K
James Washington,WR
Henry Ruggs III,WR
Josh Jacobs,RB
Ezekiel Elliott,RB
Tyreek Hill,WR
DeAndre Hopkins,WR
Todd Gurley II,RB
Adam Thielen,WR
Mark Andrews,TE
Kareem Hunt,RB
Cooper Kupp,WR
Robert Woods,WR
Jarvis Landry,WR
Noah Fant,TE
John Brown,WR
Jerry Jeudy,WR
Drew Brees,QB
Harrison Butker,K
49ers D/ST,D/ST
Chase Edmonds,RB
Justin Jackson,RB
Joshua Kelley,RB
Jason Sanders,K
Deebo Samuel,WR
Ryan Fitzpatrick,QB
Jimmy Graham,TE
Travis Fulgham,WR
Ryan Tannehill,QB
Adrian Peterson,RB
Washington D/ST,D/ST
Derrick Henry,RB
Joe Mixon,RB
George Kittle,TE
Miles Sanders,RB
Chris Carson,RB
JuJu Smith-Schuster,WR
Keenan Allen,WR
Melvin Gordon III,RB
Devin Singletary,RB
DJ Chark Jr.,WR
Will Fuller V,WR
David Montgomery,RB
Marquise Brown,WR
Jared Cook,TE
Diontae Johnson,WR
Matthew Stafford,QB
Robby Anderson,WR
Gardner Minshew II,QB
Jonnu Smith,TE
Bears D/ST,D/ST
Jared Goff,QB
Logan Thomas,TE
Giants D/ST,D/ST
Matt Prater,K
Tyler Boyd,WR
Andy Dalton,QB
Joey Slye,K
Tee Higgins,WR
Lamar Jackson,QB
Dalvin Cook,RB
Amari Cooper,WR
Julio Jones,WR
Calvin Ridley,WR
Kenny Golladay,WR
Deshaun Watson,QB
A.J. Brown,WR
Ronald Jones II,RB
Michael Gallup,WR
T.J. Hockenson,TE
Hunter Henry,TE
Colts D/ST,D/ST
Matt Ryan,QB
Sammy Watkins,WR
Steelers D/ST,D/ST
Frank Gore,RB
Justin Tucker,K
Laviska Shenault Jr.,WR
Damien Harris,RB
Rodrigo Blankenship,K
Antonio Gibson,RB
Nyheim Hines,RB
Ben Roethlisberger,QB
Mark Ingram II,RB
Alexander Mattison,RB
Rex Burkhead,RB
Eric Ebron,TE
Clyde Edwards-Helaire,RB
Alvin Kamara,RB
Kenyan Drake,RB
Davante Adams,WR
Allen Robinson II,WR
DJ Moore,WR
Russell Wilson,QB
Jonathan Taylor,RB
Evan Engram,TE
Zach Ertz,TE
Christian Kirk,WR
Stefon Diggs,WR
Darius Slayton,WR
Josh Allen,QB
DeSean Jackson,WR
Latavius Murray,RB
Broncos D/ST,D/ST
Robert Tonyan,TE
Zane Gonzalez,K
Brandin Cooks,WR
Jerick McKinnon,RB
Dolphins D/ST,D/ST
Justin Jefferson,WR
Mason Crosby,K
Austin Hooper,TE
Julian Edelman,WR
Kirk Cousins,QB
Mike Davis,RB
Michael Thomas,WR
Nick Chubb,RB
Austin Ekeler,RB
Aaron Jones,RB
James Conner,RB
Odell Beckham Jr.,WR
Le'Veon Bell,RB
Tyler Lockett,WR
Terry McLaurin,WR
D'Andre Swift,RB
Phillip Lindsay,RB
DeVante Parker,WR
Aaron Rodgers,QB
Tom Brady,QB
Ravens D/ST,D/ST
Mike Gesicki,TE
James Robinson,RB
CeeDee Lamb,WR
Dalton Schultz,TE
Greg Zuerlein,K
Justin Herbert,QB
Devonta Freeman,RB
Mike Williams,WR
Hayden Hurst,TE
Graham Gano,K
Rams D/ST,D/ST
Tim Patrick,WR
Chase Claypool,WR
